"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2016,    25.3,    20.6,    54.1,    17.6,    69.7,     3.0,    12.0,    24.0,     9.2,    21.6,    34.6,    18.2,    15.7,,     1.3,    10.3,     2.3,     4.4,     2.9,     2.2,    12.7,    74.7
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2016,    20.5,    28.4,    51.1,    13.4,,     3.8,,    18.6,,,,,,,     1.2,     6.3,     1.3,     1.7,     1.9,     2.0,     7.8,    75.2
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2016,    28.0,    16.2,    55.8,    20.0,    71.5,     2.5,     9.1,    27.0,     9.0,    19.2,    36.2,,,,     1.3,    12.5,     2.9,     6.0,     3.5,     2.3,    15.5,    74.3
Herkomst: geboren buiten Nederland,Waarde,2016,    26.2,    20.6,    53.2,    21.7,    83.0,     5.8,    22.1,    24.7,    11.3,    24.6,    30.3,    16.8,    18.0,,     1.0,     9.4,     0.5,     1.1,     1.0,     1.2,    10.0,    74.3
Herkomst: geboren in Europa (excl. NL),Waarde,2016,    26.2,    30.9,    42.9,    20.9,,     7.9,,    25.0,,,,,,,     0.9,     9.6,     0.4,     1.5,     0.8,     0.9,    11.3,    76.0
Herkomst: geboren buiten Europa,Waarde,2016,    26.2,    17.0,    56.8,    22.0,    84.1,     5.1,    19.3,    24.5,    10.9,    25.3,    32.5,,,,     1.0,     9.3,     0.5,     0.9,     1.0,     1.3,     9.5,    73.7
Positie: alleenstaande <40 jaar,Waarde,2016,    34.1,    12.4,    53.5,    23.7,    69.4,     4.1,    12.3,    33.1,     8.9,    12.8,    29.2,,,,     1.6,    22.2,     6.4,    12.3,     6.3,     6.4,    28.4,    74.5
Positie: alleenstaande 40 tot 65 jaar,Waarde,2016,    37.9,    28.2,    33.9,    32.0,    84.5,     9.8,    26.1,    35.3,    12.7,    35.5,    34.6,    22.7,    15.6,,     1.4,     8.5,     0.6,     1.8,     2.8,     1.6,     9.9,    79.4
Positie: alleenstaande >=65 jaar,Waarde,2016,    17.6,    42.9,    39.5,    15.5,,     3.1,,    15.4,,,,    25.7,    31.1,,     1.1,     0.9,     0.0,     0.0,     0.0,     0.2,     1.1,    74.5
"Positie: kind <18 jaar, eenoudergezin",Waarde,2016,    14.0,     0.9,    85.1,    10.1,,     0.0,,    12.3,,,,,,,,     7.2,     0.7,     1.1,     0.0,     0.8,     8.1,
