"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Positie: partner paar 40-65, geen kind",Waarde,2019,    20.6,    41.7,    37.8,    17.2,    83.5,     3.3,    16.2,    18.8,    11.5,    37.7,    25.4,    20.2,    21.2,    75.5,     1.2,     2.8,     0.2,     0.9,     0.4,     0.3,     3.4,    80.3
"Positie: partner paar >=65, geen kind",Waarde,2019,    10.3,    56.7,    33.0,     8.7,    85.1,     1.2,    11.7,     8.2,    10.8,    54.3,    31.1,    25.7,    29.8,    86.3,     1.3,     0.2,     0.1,     0.1,     0.0,     0.1,     0.4,    77.8
Positie: overig lid,Waarde,2019,    28.3,    16.3,    55.4,    16.7,       .,     1.8,       .,    25.6,       .,       .,       .,       .,       .,    68.8,     1.4,    18.9,     5.6,     9.5,     5.2,     5.4,    22.8,    76.1
Laag onderwijsniveau,Waarde,2019,    25.9,    39.1,    34.9,    23.4,    90.2,     5.1,    19.7,    24.6,    12.1,    35.6,    28.7,    25.3,    23.0,    79.6,     1.3,     4.2,     0.7,     0.8,     0.6,     0.6,     5.3,    78.6
Middelbaar onderwijsniveau,Waarde,2019,    24.0,    35.6,    40.5,    18.8,    78.5,     3.6,    15.2,    22.1,    10.8,    28.3,    35.1,    19.5,    20.3,    74.4,     1.2,     5.8,     1.2,     2.2,     1.8,     1.2,     7.3,    79.9
Hoog onderwijsniveau,Waarde,2019,    13.8,    32.7,    53.5,     7.3,    53.2,     1.4,     9.9,    11.7,     7.4,    24.5,    38.4,    17.3,    18.8,    79.6,     1.1,     6.0,     1.7,     3.8,     1.8,     1.4,     8.8,    77.4
Vermogen: 1e 20%-groep,Waarde,2019,    33.2,    20.3,    46.6,    24.4,    73.4,     4.9,    14.7,    30.2,    10.6,    22.7,    36.3,    17.2,    10.8,    70.6,     1.3,    13.6,     3.9,     7.0,     4.0,     3.1,    17.9,    80.3
Vermogen: 2e 20%-groep,Waarde,2019,    28.3,    26.5,    45.3,    23.2,    82.1,     4.6,    16.3,    26.3,    11.1,    28.2,    34.0,    21.4,    16.7,    74.1,     1.3,     9.1,     1.9,     2.8,     1.6,     1.7,    10.7,    78.0
Vermogen: 3e 20%-groep,Waarde,2019,    18.2,    32.1,    49.7,    13.0,    71.6,     2.2,    12.3,    17.2,     9.1,    25.1,    34.9,    19.8,    18.0,    78.3,     1.2,     5.2,     1.1,     2.9,     1.4,     1.4,     7.5,    78.2
Vermogen: 4e 20%-groep,Waarde,2019,    14.5,    35.2,    50.2,    10.0,    68.5,     1.9,    13.0,    13.2,     9.1,    30.8,    29.0,    20.2,    22.0,    80.4,     1.1,     4.6,     0.8,     2.0,     0.9,     0.7,     5.7,    77.8
Vermogen: 5e 20%-groep,Waarde,2019,    11.7,    34.5,    53.8,     7.3,    62.2,     1.1,     9.0,    10.0,     8.4,    26.4,    34.7,    20.2,    25.9,    80.8,     1.2,     4.1,     0.6,     1.8,     1.2,     1.0,     5.4,    76.3
