"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Positie: partner paar >=65, geen kind",Waarde,2018,    11.2,    56.7,    32.1,     8.9,    79.6,     1.4,    12.1,     9.0,     9.7,    54.5,    31.3,    24.9,    30.2,       .,     1.4,     0.5,     0.0,     0.0,     0.0,     0.1,     0.6,    78.5
Positie: overig lid,Waarde,2018,    27.1,    21.3,    51.6,    16.7,       .,     2.0,       .,    26.3,       .,       .,       .,       .,       .,       .,     1.4,    17.0,     3.1,     9.7,     3.6,     4.4,    20.8,    77.4
Laag onderwijsniveau,Waarde,2018,    26.4,    39.7,    33.9,    22.4,    84.7,     4.9,    18.7,    24.5,    11.6,    35.9,    31.3,    24.0,    22.8,       .,     1.3,     5.5,     0.7,     0.8,     1.1,     0.9,     6.3,    78.7
Middelbaar onderwijsniveau,Waarde,2018,    24.5,    36.2,    39.3,    19.0,    77.4,     4.0,    16.5,    22.4,    10.5,    29.2,    40.1,    19.5,    19.4,       .,     1.2,     5.6,     0.8,     2.0,     1.2,     1.3,     7.0,    80.5
Hoog onderwijsniveau,Waarde,2018,    14.1,    33.6,    52.3,     7.5,    53.1,     1.7,    12.1,    12.2,     8.2,    26.9,    44.4,    16.4,    19.5,       .,     1.2,     5.9,     1.3,     3.4,     1.9,     1.8,     8.7,    77.4
Vermogen: 1e 20%-groep,Waarde,2018,    29.0,    25.2,    45.8,    20.9,    71.8,     4.1,    14.1,    26.9,     9.6,    20.6,    41.5,    15.7,    11.9,       .,     1.2,    12.1,     2.1,     5.3,     2.8,     2.8,    15.3,    79.8
Vermogen: 2e 20%-groep,Waarde,2018,    31.4,    26.0,    42.7,    24.5,    78.0,     6.0,    19.2,    29.5,    10.8,    28.7,    36.9,    22.1,    15.3,       .,     1.2,    10.9,     1.3,     2.7,     1.3,     1.6,    12.5,    78.0
Vermogen: 3e 20%-groep,Waarde,2018,    19.4,    31.7,    48.9,    13.7,    70.8,     2.6,    13.4,    18.4,     9.3,    27.9,    35.7,    20.4,    18.8,       .,     1.1,     5.8,     0.7,     2.7,     1.2,     1.5,     7.6,    78.7
Vermogen: 4e 20%-groep,Waarde,2018,    15.2,    34.8,    50.0,    10.6,    69.9,     2.2,    14.4,    13.8,     9.6,    31.1,    37.2,    19.8,    22.5,       .,     1.2,     5.2,     0.6,     1.6,     1.4,     1.1,     6.7,    78.3
Vermogen: 5e 20%-groep,Waarde,2018,    13.6,    34.7,    51.6,     8.2,    60.0,     1.3,     9.8,    11.2,     8.7,    29.9,    39.3,    19.6,    25.8,       .,     1.2,     4.0,     0.4,     1.3,     0.7,     0.7,     4.9,    76.6
