"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Totaal personen,Waarde,2018,    21.0,    30.7,    48.3,    14.9,    71.1,     3.1,    14.6,    19.2,     9.7,    26.8,    38.2,    19.4,    19.9,       .,     1.2,     7.4,     1.0,     2.6,     1.5,     1.5,     9.2,    78.2
Geslacht: Mannen,Waarde,2018,    23.8,    32.2,    44.0,    17.0,    71.5,     3.7,    15.6,    20.7,    10.4,    26.4,    37.0,    20.4,    19.7,       .,     1.5,    10.0,     1.4,     3.2,     2.0,     1.9,    11.9,    84.7
Geslacht: Vrouwen,Waarde,2018,    18.2,    29.3,    52.5,    12.9,    70.7,     2.4,    13.3,    17.8,     9.0,    27.2,    39.6,    18.5,    20.1,       .,     0.8,     4.9,     0.7,     2.1,     0.9,     1.2,     6.5,    71.8
Leeftijd: 0 tot 4 jaar,Waarde,2018,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 4 tot 12 jaar,Waarde,2018,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 16 jaar,Waarde,2018,     2.3,     1.4,    96.3,     1.4,       .,     0.0,       .,     2.3,       .,       .,       .,       .,       .,       .,       .,     1.8,     0.0,     0.2,     0.0,     0.2,     2.0,       .
Leeftijd: 16 tot 20 jaar,Waarde,2018,    15.5,     5.3,    79.2,     7.6,       .,     0.9,       .,    14.7,       .,       .,       .,       .,       .,       .,     1.0,    17.4,     1.3,     3.1,     0.5,     1.1,    18.0,    69.3
Leeftijd: 20 tot 30 jaar,Waarde,2018,    30.2,    12.7,    57.1,    16.2,    53.6,     1.9,     6.3,    28.5,     6.9,     8.3,    41.7,     6.1,     3.3,       .,     1.3,    19.0,     3.3,     9.7,     5.2,     5.3,    25.7,    74.6
Leeftijd: 30 tot 40 jaar,Waarde,2018,    26.7,    23.2,    50.1,    18.3,    68.4,     2.9,    11.0,    25.2,     9.0,    17.9,    41.1,    10.9,     7.5,       .,     1.0,    12.0,     2.2,     4.6,     3.4,     2.8,    14.7,    78.3
Leeftijd: 40 tot 50 jaar,Waarde,2018,    23.9,    28.8,    47.3,    19.0,    79.6,     4.7,    20.0,    22.0,    11.5,    27.9,    37.5,    15.5,    12.2,       .,     1.1,     5.1,     0.5,     1.4,     0.8,     0.8,     6.5,    80.4
Leeftijd: 50 tot 55 jaar,Waarde,2018,    23.4,    33.2,    43.3,    18.5,    78.9,     4.7,    19.9,    22.0,    11.1,    35.3,    37.6,    19.4,    16.0,       .,     1.0,     5.2,     0.3,     0.8,     0.7,     0.8,     6.0,    81.2
Leeftijd: 55 tot 65 jaar,Waarde,2018,    23.3,    43.5,    33.2,    18.9,    80.9,     5.2,    22.4,    20.6,    12.1,    42.7,    34.9,    21.5,    22.1,       .,     1.4,     2.7,     0.4,     0.6,     0.3,     0.5,     3.1,    80.5
Leeftijd: 65 tot 75 jaar,Waarde,2018,    13.9,    56.1,    30.1,    11.2,    80.8,     2.4,    17.1,    11.8,    11.1,    51.6,    29.2,    24.5,    27.3,       .,     1.4,     1.3,     0.0,     0.0,     0.0,     0.2,     1.5,    78.9
Leeftijd: 75 jaar of ouder,Waarde,2018,     9.7,    49.7,    40.5,     8.0,       .,     1.0,       .,     7.9,       .,       .,       .,    26.8,    34.7,       .,     1.2,     0.7,     0.0,     0.0,     0.0,     0.1,     0.8,    74.6
Leeftijd: 0 tot 12 jaar,Waarde,2018,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 18 jaar,Waarde,2018,     5.8,     1.5,    92.7,     3.1,       .,     0.4,       .,     5.3,       .,       .,       .,       .,       .,       .,     0.7,     6.2,     0.0,     0.3,     0.0,     0.3,     6.4,       .
Leeftijd: 18 jaar of ouder,Waarde,2018,    22.4,    33.4,    44.2,    16.0,    71.6,     3.3,    14.8,    20.5,     9.8,    27.3,    37.9,    19.5,    19.9,       .,     1.2,     7.5,     1.1,     2.8,     1.6,     1.7,     9.4,    78.2
Herkomst: geboren in Nederland,Waarde,2018,    20.6,    31.8,    47.6,    14.7,    71.1,     3.2,    15.4,    18.8,    10.0,    27.3,    36.8,    19.6,    20.3,       .,     1.2,     7.0,     1.0,     2.8,     1.5,     1.6,     8.9,    78.8
"Herkomst: geb. in NL, ouders in NL",Waarde,2018,    20.2,    32.7,    47.1,    14.7,    73.1,     3.2,    16.1,    18.4,    10.2,    28.0,    36.7,    19.7,    20.5,       .,     1.2,     6.6,     1.0,     2.6,     1.3,     1.4,     8.3,    79.0
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2018,    24.0,    24.5,    51.5,    14.2,    59.0,     2.6,    10.9,    21.7,     8.6,    22.4,    37.4,    18.8,    17.4,       .,     1.2,    10.3,     1.1,     3.8,     2.7,     3.1,    13.5,    76.6
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2018,    25.2,    30.1,    44.7,    13.3,       .,     3.6,       .,    22.1,       .,       .,       .,       .,       .,       .,     1.3,     9.4,     0.3,     2.8,     1.3,     2.4,    11.6,    76.9
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2018,    23.4,    21.6,    55.0,    14.6,    62.4,     2.1,     9.0,    21.5,       .,       .,       .,    17.4,    13.6,       .,     1.2,    10.8,     1.5,     4.3,     3.4,     3.5,    14.4,    76.5
Herkomst: geboren buiten Nederland,Waarde,2018,    23.4,    23.7,    52.9,    16.6,    71.2,     2.3,    10.0,    21.9,     8.2,    23.9,    46.2,    18.1,    16.5,       .,     0.9,    10.0,     1.1,     1.7,     1.7,     1.3,    11.0,    74.6
Herkomst: geboren in Europa (excl. NL),Waarde,2018,    23.0,    32.5,    44.5,    14.9,       .,     2.5,       .,    22.7,       .,       .,       .,       .,       .,       .,     1.0,     7.9,     1.0,     2.5,     2.3,     1.6,     9.7,    75.4
Herkomst: geboren buiten Europa,Waarde,2018,    23.5,    20.5,    56.0,    17.3,    73.4,     2.3,     9.7,    21.7,     8.1,    25.0,    43.5,    17.7,    17.6,       .,     0.8,    10.8,     1.1,     1.4,     1.5,     1.1,    11.4,    74.3
Positie: alleenstaande <40 jaar,Waarde,2018,    35.3,    14.6,    50.1,    22.7,    64.2,     3.6,    10.3,    32.6,     8.7,    12.7,    38.5,       .,       .,       .,     1.5,    27.2,     5.0,    10.8,     8.3,     6.5,    34.3,    76.2
Positie: alleenstaande 40 tot 65 jaar,Waarde,2018,    37.7,    31.7,    30.6,    31.5,    83.7,    10.7,    28.6,    34.7,    13.1,    36.5,    36.0,    21.9,    15.7,       .,     1.6,    10.9,     0.6,     1.3,     1.3,     1.5,    11.6,    81.1
Positie: alleenstaande >=65 jaar,Waarde,2018,    13.7,    48.2,    38.1,    11.3,       .,     2.8,       .,    12.1,       .,       .,       .,    26.8,    29.3,       .,     1.2,     2.1,     0.0,     0.0,     0.0,     0.3,     2.4,    74.8
"Positie: kind <18 jaar, eenoudergezin",Waarde,2018,     6.5,     1.2,    92.3,     3.1,       .,     2.2,       .,     4.7,       .,       .,       .,       .,       .,       .,       .,     4.4,     0.0,     0.0,     0.0,     0.0,     4.4,       .
Positie: kind >= 18 jaar eenoudergezin,Waarde,2018,    35.2,    11.2,    53.6,    22.0,       .,     1.5,       .,    32.7,       .,       .,       .,       .,       .,       .,       .,    24.2,     1.9,     5.1,     3.2,     5.1,    28.1,    72.4
Positie: kind <18 jaar bij paar,Waarde,2018,     5.6,     1.6,    92.8,     2.9,       .,     0.0,       .,     5.3,       .,       .,       .,       .,       .,       .,     0.6,     6.2,     0.0,     0.4,     0.0,     0.4,     6.4,       .
Positie: kind >=18 jaar bij paar,Waarde,2018,    24.8,     9.0,    66.2,    12.1,       .,     0.6,       .,    23.8,       .,       .,       .,       .,       .,       .,     1.3,    18.5,     1.4,     6.5,     2.3,     3.3,    21.0,    72.5
Positie: ouder in eenoudergezin,Waarde,2018,    34.2,    24.3,    41.5,    26.8,    78.5,     6.7,       .,    33.2,       .,       .,       .,       .,       .,       .,     0.8,     6.6,     0.3,     1.4,     1.0,     0.8,     8.0,    74.5
Positie: partner in paar met kind,Waarde,2018,    19.5,    30.9,    49.6,    14.4,    74.1,     2.8,    14.2,    17.6,    10.1,    26.3,    37.1,    14.9,    14.0,       .,     1.0,     3.2,     0.5,     1.5,     0.8,     0.5,     4.3,    80.2
"Positie: partner paar <40, geen kind",Waarde,2018,    25.7,    14.9,    59.4,    13.7,    53.1,     2.6,    10.0,    24.1,     7.2,    11.7,    41.9,       .,       .,       .,     1.1,    12.9,     4.1,     8.6,     4.7,     4.8,    20.3,    76.4
"Positie: partner paar 40-65, geen kind",Waarde,2018,    20.6,    44.9,    34.4,    16.1,    78.1,     3.7,    17.9,    18.9,    11.0,    39.5,    38.6,    20.9,    20.8,       .,     1.3,     3.1,     0.5,     0.7,     0.3,     0.8,     3.8,    80.3
