"Persoonskenmerken";"Marges";"Perioden";"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)";"Meeroken onder niet-rokers/(Bijna) nooit (%)";"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)";"Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)";"Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Herkomst: geb. in NL, ouder(s) buiten NL";"Waarde";"2021";"    21.5";"    24.1";"    54.4";"    15.7";"    72.7";"     2.4";"    11.3";"    17.7";"     8.8";"    21.4";"    29.5";"    17.8";"    17.9";"    84.6";"     1.2";"    13.0";"     1.9";"     5.1";"     3.3";"     4.7";"    15.9";"    78.0"
"Herkomst: geb. in NL, ouder(s) in Europa";"Waarde";"2021";"    22.1";"    30.4";"    47.5";"    17.7";"       .";"     3.9";"       .";"    17.7";"       .";"       .";"       .";"       .";"       .";"    82.0";"     1.3";"    10.5";"     1.4";"     3.2";"     0.8";"     3.5";"    12.6";"    79.9"
"Herkomst: geb. NL, ouder(s) buit. Europa";"Waarde";"2021";"    21.3";"    20.8";"    58.0";"    14.6";"       .";"     1.7";"       .";"    17.7";"       .";"       .";"       .";"    16.9";"    13.1";"    85.8";"     1.1";"    14.3";"     2.2";"     6.2";"     4.6";"     5.4";"    17.7";"    77.0"
"Herkomst: geboren buiten Nederland";"Waarde";"2021";"    24.2";"    23.2";"    52.6";"    20.0";"    82.7";"     2.9";"    12.0";"    21.0";"     9.5";"    25.2";"    40.3";"    18.3";"    16.5";"    79.1";"     0.9";"     8.4";"     0.8";"     1.2";"     0.7";"     0.7";"     9.4";"    75.0"
"Herkomst: geboren in Europa (excl. NL)";"Waarde";"2021";"    30.6";"    26.8";"    42.6";"    23.7";"       .";"     3.5";"       .";"    26.6";"       .";"       .";"       .";"       .";"       .";"    78.8";"     0.9";"    13.4";"     1.8";"     2.5";"     1.0";"     1.2";"    15.6";"    75.8"
"Herkomst: geboren buiten Europa";"Waarde";"2021";"    21.6";"    21.7";"    56.7";"    18.5";"       .";"     2.6";"       .";"    18.7";"       .";"       .";"       .";"    18.3";"    16.6";"    79.2";"     0.9";"     6.3";"     0.3";"     0.7";"     0.6";"     0.5";"     6.9";"    74.6"
"Positie: alleenstaande <40 jaar";"Waarde";"2021";"    29.9";"    17.0";"    53.1";"    18.0";"       .";"     3.2";"       .";"    26.3";"       .";"       .";"       .";"       .";"       .";"    64.4";"     1.2";"    28.6";"     6.0";"    16.0";"     9.8";"    11.6";"    37.3";"    77.1"
"Positie: alleenstaande 40 tot 65 jaar";"Waarde";"2021";"    31.8";"    31.4";"    36.8";"    26.4";"    83.1";"     7.3";"    22.8";"    25.8";"       .";"       .";"       .";"    22.8";"    16.0";"    80.6";"     1.4";"     9.0";"     1.3";"     1.9";"     1.2";"     1.8";"    11.3";"    81.7"
"Positie: alleenstaande >=65 jaar";"Waarde";"2021";"    14.0";"    45.1";"    40.9";"    12.8";"       .";"     2.3";"       .";"    12.4";"       .";"       .";"       .";"    25.6";"    31.3";"    90.7";"     1.1";"     0.8";"     0.0";"     0.0";"     0.2";"     0.5";"     1.5";"    74.1"
"Positie: kind <18 jaar, eenoudergezin";"Waarde";"2021";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    82.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Positie: kind >= 18 jaar eenoudergezin";"Waarde";"2021";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Positie: kind <18 jaar bij paar";"Waarde";"2021";"     5.3";"     0.9";"    93.8";"     2.0";"       .";"     0.5";"       .";"     4.1";"       .";"       .";"       .";"       .";"       .";"    88.2";"     0.9";"     5.8";"     0.0";"     0.7";"     0.0";"     1.0";"     6.1";"       ."
"Positie: kind >=18 jaar bij paar";"Waarde";"2021";"    23.1";"     9.4";"    67.5";"    11.9";"       .";"     0.3";"       .";"    21.9";"       .";"       .";"       .";"       .";"       .";"    63.0";"     1.3";"    17.9";"     1.7";"     5.6";"     3.5";"     4.6";"    20.5";"    74.3"
"Positie: ouder in eenoudergezin";"Waarde";"2021";"    25.6";"    32.1";"    42.3";"    19.1";"       .";"     2.9";"       .";"    24.5";"       .";"       .";"       .";"       .";"       .";"    72.0";"     0.9";"     6.6";"     0.0";"     1.7";"     1.2";"     2.4";"     9.1";"    77.1"
"Positie: partner in paar met kind";"Waarde";"2021";"    17.1";"    28.9";"    54.0";"    12.6";"    73.9";"     2.1";"    12.1";"    14.9";"    10.2";"    26.9";"    29.6";"    15.1";"    15.5";"    84.6";"     0.9";"     3.3";"     0.5";"     0.9";"     1.2";"     0.7";"     4.8";"    80.1"
"Positie: partner paar <40, geen kind";"Waarde";"2021";"    24.1";"    21.4";"    54.6";"    15.3";"       .";"     2.4";"       .";"    19.8";"       .";"       .";"       .";"       .";"       .";"    75.4";"     1.0";"    18.6";"     2.3";"     7.1";"     4.0";"     5.8";"    23.4";"    77.0"
"Positie: partner paar 40-65, geen kind";"Waarde";"2021";"    19.6";"    40.5";"    39.9";"    17.0";"    86.9";"     3.4";"    17.5";"    17.1";"    12.2";"    39.2";"    27.2";"    21.7";"    19.7";"    84.0";"     1.1";"     2.8";"     0.4";"     0.4";"     0.6";"     0.6";"     3.8";"    80.2"
"Positie: partner paar >=65, geen kind";"Waarde";"2021";"    11.6";"    56.9";"    31.5";"    10.5";"    90.4";"     1.4";"    12.4";"     9.3";"    11.9";"    53.3";"    22.4";"    24.8";"    31.3";"    91.9";"     1.3";"     0.6";"     0.1";"     0.0";"     0.0";"     0.2";"     0.8";"    77.7"
"Positie: overig lid";"Waarde";"2021";"    30.5";"    16.7";"    52.9";"    18.0";"       .";"     2.7";"       .";"    25.4";"       .";"       .";"       .";"       .";"       .";"    72.7";"     1.4";"    20.3";"     6.3";"    12.1";"     5.8";"     5.3";"    25.7";"    75.5"
"Laag onderwijsniveau";"Waarde";"2021";"    23.6";"    38.7";"    37.7";"    21.4";"    90.5";"     4.5";"    18.9";"    21.3";"    12.2";"    37.4";"    28.2";"    23.7";"    23.7";"    83.7";"     1.1";"     3.6";"     0.5";"     0.8";"     0.7";"     0.8";"     4.5";"    77.9"
"Middelbaar onderwijsniveau";"Waarde";"2021";"    22.8";"    37.8";"    39.4";"    17.7";"    77.7";"     2.8";"    12.1";"    20.5";"    10.0";"    29.2";"    34.6";"    20.4";"    20.8";"    81.3";"     1.1";"     6.7";"     1.0";"     2.1";"     1.4";"     1.4";"     8.6";"    80.7"
"Hoog onderwijsniveau";"Waarde";"2021";"    14.2";"    30.5";"    55.3";"     8.6";"    60.9";"     1.8";"    12.7";"    10.6";"     8.8";"    27.0";"    29.8";"    16.6";"    19.8";"    86.0";"     1.0";"     6.7";"     1.4";"     3.6";"     2.8";"     2.9";"     9.6";"    77.8"
"Vermogen: 1e 20%-groep";"Waarde";"2021";"    30.2";"    22.7";"    47.1";"    24.0";"    79.4";"     5.1";"    16.7";"    26.8";"    10.6";"    23.4";"    36.1";"    17.0";"    12.7";"    75.2";"     1.2";"    15.7";"     3.3";"     5.7";"     4.1";"     3.8";"    18.9";"    78.6"
"Vermogen: 2e 20%-groep";"Waarde";"2021";"    26.8";"    30.3";"    43.0";"    20.1";"    75.2";"     4.3";"    16.1";"    23.8";"    11.1";"    28.6";"    37.1";"    21.5";"    19.7";"    80.7";"     1.1";"     9.5";"     0.9";"     2.9";"     2.0";"     2.5";"    11.8";"    78.3"
"Vermogen: 3e 20%-groep";"Waarde";"2021";"    18.7";"    29.2";"    52.1";"    14.1";"    75.2";"     1.7";"     8.9";"    16.9";"     9.1";"    26.5";"    28.1";"    19.5";"    18.2";"    85.1";"     1.0";"     6.4";"     0.7";"     2.7";"     1.6";"     1.8";"     8.3";"    79.2"
"Vermogen: 4e 20%-groep";"Waarde";"2021";"    14.1";"    33.8";"    52.0";"     9.1";"    64.2";"     1.4";"    10.0";"    11.3";"     8.5";"    29.9";"    32.1";"    20.1";"    22.6";"    84.8";"     1.1";"     5.1";"     0.7";"     1.5";"     1.2";"     1.5";"     6.6";"    78.4"
"Vermogen: 5e 20%-groep";"Waarde";"2021";"    11.3";"    33.0";"    55.7";"     7.2";"    64.0";"     1.2";"    10.8";"     8.6";"     8.6";"    29.2";"    19.6";"    19.3";"    25.7";"    85.8";"     1.2";"     4.1";"     0.5";"     2.2";"     1.1";"     2.0";"     5.8";"    76.8"
