"Persoonskenmerken";"Marges";"Perioden";"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)";"Meeroken onder niet-rokers/(Bijna) nooit (%)";"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)";"Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)";"Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Totaal personen";"Waarde";"2021";"    19.4";"    30.0";"    50.6";"    14.2";"    73.0";"     2.5";"    13.1";"    16.7";"     9.8";"    26.7";"    32.6";"    19.5";"    20.7";"    82.9";"     1.1";"     7.9";"     1.2";"     2.9";"     1.9";"     2.2";"    10.0";"    78.1"
"Geslacht: Mannen";"Waarde";"2021";"    23.1";"    31.6";"    45.3";"    16.9";"    73.3";"     3.3";"    14.5";"    18.9";"    10.4";"    26.2";"    33.7";"    20.4";"    20.3";"    81.0";"     1.3";"    10.4";"     1.4";"     3.5";"     2.6";"     2.9";"    12.6";"    84.4"
"Geslacht: Vrouwen";"Waarde";"2021";"    15.8";"    28.4";"    55.8";"    11.5";"    72.5";"     1.8";"    11.2";"    14.5";"     9.0";"    27.4";"    31.1";"    18.6";"    21.1";"    84.7";"     0.8";"     5.5";"     1.0";"     2.4";"     1.2";"     1.6";"     7.4";"    72.0"
"Leeftijd: 0 tot 4 jaar";"Waarde";"2021";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    96.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Leeftijd: 4 tot 12 jaar";"Waarde";"2021";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    93.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Leeftijd: 12 tot 16 jaar";"Waarde";"2021";"     2.3";"     0.9";"    96.8";"     2.0";"       .";"     0.2";"       .";"     2.3";"       .";"       .";"       .";"       .";"       .";"    80.4";"       .";"     1.3";"     0.0";"     0.0";"     0.0";"     0.3";"     1.6";"       ."
"Leeftijd: 16 tot 20 jaar";"Waarde";"2021";"    19.0";"     2.0";"    78.9";"     8.0";"       .";"     1.4";"       .";"    16.1";"       .";"       .";"       .";"       .";"       .";"    60.5";"     1.1";"    19.1";"     0.8";"     4.1";"     1.2";"     2.4";"    20.1";"    71.7"
"Leeftijd: 20 tot 30 jaar";"Waarde";"2021";"    27.0";"    14.9";"    58.1";"    14.7";"    54.3";"     1.7";"     6.5";"    23.5";"     7.4";"     7.8";"    41.2";"     5.9";"     3.3";"    64.9";"     1.2";"    23.5";"     4.3";"    11.9";"     6.2";"     7.7";"    29.1";"    75.0"
"Leeftijd: 30 tot 40 jaar";"Waarde";"2021";"    24.1";"    21.3";"    54.5";"    16.9";"    69.9";"     2.6";"    10.8";"    20.2";"     9.5";"    17.6";"    34.1";"    10.0";"     7.5";"    79.3";"     0.9";"    11.3";"     2.0";"     3.8";"     4.0";"     3.3";"    15.0";"    78.2"
"Leeftijd: 40 tot 50 jaar";"Waarde";"2021";"    21.1";"    29.0";"    49.9";"    16.8";"    79.7";"     3.6";"    17.0";"    19.3";"     9.9";"    27.3";"    34.3";"    15.0";"    12.9";"    82.1";"     1.0";"     5.4";"     1.0";"     1.9";"     1.5";"     2.1";"     7.7";"    79.9"
"Leeftijd: 50 tot 55 jaar";"Waarde";"2021";"    22.3";"    29.6";"    48.1";"    17.4";"    78.1";"     4.0";"    17.7";"    19.6";"       .";"       .";"       .";"    18.6";"    16.4";"    84.2";"     1.0";"     4.9";"     0.2";"     0.8";"     0.4";"     0.9";"     6.2";"    81.3"
"Leeftijd: 55 tot 65 jaar";"Waarde";"2021";"    20.3";"    39.9";"    39.8";"    17.1";"    84.3";"     3.8";"    18.7";"    16.9";"    12.3";"    41.8";"    21.3";"    22.5";"    21.1";"    85.3";"     1.1";"     2.4";"     0.2";"     0.3";"     0.5";"     0.3";"     3.3";"    80.7"
"Leeftijd: 65 tot 75 jaar";"Waarde";"2021";"    14.0";"    54.8";"    31.2";"    13.1";"    93.5";"     2.0";"    14.1";"    12.4";"    12.0";"    51.6";"    25.9";"    24.7";"    27.7";"    91.1";"     1.3";"     0.9";"     0.1";"     0.0";"     0.1";"     0.2";"     1.3";"    78.6"
"Leeftijd: 75 jaar of ouder";"Waarde";"2021";"    10.4";"    50.7";"    38.9";"     8.9";"       .";"     1.5";"       .";"     7.6";"       .";"       .";"       .";"    25.7";"    36.1";"    91.1";"     1.1";"     0.2";"     0.0";"     0.0";"     0.0";"     0.4";"     0.5";"    73.8"
"Leeftijd: 0 tot 12 jaar";"Waarde";"2021";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    94.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Leeftijd: 12 tot 18 jaar";"Waarde";"2021";"     6.4";"     0.8";"    92.8";"     2.5";"       .";"     0.4";"       .";"     5.0";"       .";"       .";"       .";"       .";"       .";"    74.4";"     0.8";"     6.7";"     0.2";"     1.0";"     0.2";"     0.8";"     6.8";"       ."
"Leeftijd: 18 jaar of ouder";"Waarde";"2021";"    20.6";"    32.6";"    46.9";"    15.2";"    73.9";"     2.7";"    13.3";"    17.7";"     9.9";"    27.4";"    32.2";"    19.6";"    20.7";"    81.6";"     1.1";"     8.0";"     1.3";"     3.1";"     2.0";"     2.4";"    10.2";"    78.1"
"Herkomst: geboren in Nederland";"Waarde";"2021";"    18.6";"    31.1";"    50.3";"    13.2";"    70.9";"     2.5";"    13.4";"    16.0";"     9.9";"    27.1";"    30.9";"    19.7";"    21.1";"    83.5";"     1.1";"     7.8";"     1.2";"     3.2";"     2.1";"     2.5";"    10.0";"    78.7"
"Herkomst: geb. in NL, ouders in NL";"Waarde";"2021";"    18.2";"    32.1";"    49.7";"    12.9";"    70.6";"     2.5";"    13.7";"    15.7";"    10.0";"    28.0";"    31.1";"    19.9";"    21.5";"    83.3";"     1.1";"     7.1";"     1.1";"     2.9";"     1.9";"     2.2";"     9.2";"    78.8"
