"Persoonskenmerken";"Marges";"Perioden";"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)";"Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)";"Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)";"Meeroken onder niet-rokers/(Bijna) nooit (%)";"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)";"Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)";"Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)";"Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
"Herkomst: geboren buiten Nederland";"Waarde";"2020";"    21.7";"    24.0";"    54.4";"    16.5";"    76.4";"     3.0";"    13.8";"    20.0";"     9.2";"    26.1";"    42.1";"    18.9";"    15.7";"    77.7";"     0.8";"     9.7";"     1.1";"     2.2";"     0.8";"     1.9";"    11.2";"    74.0"
"Herkomst: geboren in Europa (excl. NL)";"Waarde";"2020";"    23.3";"    32.8";"    43.9";"    17.7";"       .";"     2.0";"       .";"    22.9";"       .";"       .";"       .";"       .";"       .";"    81.7";"     1.0";"    13.4";"     0.9";"     3.0";"     1.1";"     2.8";"    16.2";"    73.8"
"Herkomst: geboren buiten Europa";"Waarde";"2020";"    20.9";"    20.1";"    59.0";"    16.0";"       .";"     3.4";"       .";"    18.8";"       .";"       .";"       .";"    17.5";"    16.9";"    76.0";"     0.8";"     8.0";"     1.1";"     1.8";"     0.6";"     1.5";"     9.0";"    74.1"
"Positie: alleenstaande <40 jaar";"Waarde";"2020";"    30.8";"    15.7";"    53.5";"    16.9";"    54.9";"     2.8";"     9.3";"    27.0";"       .";"       .";"       .";"       .";"       .";"    65.0";"     1.2";"    26.8";"     6.5";"    12.8";"     6.7";"     8.3";"    35.0";"    76.3"
"Positie: alleenstaande 40 tot 65 jaar";"Waarde";"2020";"    35.1";"    31.9";"    32.9";"    30.6";"    87.2";"     7.4";"    21.0";"    32.1";"    12.5";"    33.3";"    30.7";"    20.6";"    15.9";"    77.7";"     1.3";"     8.8";"     1.2";"     1.4";"     1.4";"     1.0";"    11.1";"    80.6"
"Positie: alleenstaande >=65 jaar";"Waarde";"2020";"    15.1";"    46.6";"    38.4";"    13.2";"       .";"     3.3";"       .";"    14.1";"       .";"       .";"       .";"    26.5";"    30.3";"    91.0";"     1.4";"     1.2";"     0.5";"     0.0";"     0.2";"     0.0";"     1.9";"    73.7"
"Positie: kind <18 jaar, eenoudergezin";"Waarde";"2020";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    76.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Positie: kind >= 18 jaar eenoudergezin";"Waarde";"2020";"    27.9";"    11.8";"    60.3";"    20.6";"       .";"     3.7";"       .";"    23.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    24.7";"     4.1";"    13.8";"     4.3";"     8.4";"    30.4";"    76.0"
"Positie: kind <18 jaar bij paar";"Waarde";"2020";"     2.3";"     0.9";"    96.8";"     0.8";"       .";"     0.0";"       .";"     1.7";"       .";"       .";"       .";"       .";"       .";"    87.6";"     0.8";"     4.8";"     0.2";"     0.7";"     0.4";"     0.4";"     5.0";"       ."
"Positie: kind >=18 jaar bij paar";"Waarde";"2020";"    20.7";"     5.8";"    73.4";"     9.7";"       .";"     2.0";"       .";"    17.8";"       .";"       .";"       .";"       .";"       .";"    56.8";"     1.2";"    19.3";"     1.3";"     7.6";"     2.1";"     2.6";"    23.2";"    73.6"
