"Alcoholgebruik, 12 jaar of ouder|Drinkers|Glazen alcohol per dag per drinker","Drugsgebruik, 12 jaar of ouder|Cannabisgebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Cannabisgebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Cannabisgebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Amfetaminegebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Amfetaminegebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Amfetaminegebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Ecstasygebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Ecstasygebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Ecstasygebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Cocaïnegebruik|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Cocaïnegebruik|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Cocaïnegebruik|Ooit","Drugsgebruik, 12 jaar of ouder|Gebruik overige drugs|Afgelopen maand","Drugsgebruik, 12 jaar of ouder|Gebruik overige drugs|Afgelopen jaar","Drugsgebruik, 12 jaar of ouder|Gebruik overige drugs|Ooit",year
"1,3","3,5","4,7","12,1","0,4","0,8","3,0","0,3","1,2","3,7","0,7","1,2","3,7","0,6","0,9","3,2",2016
"1,2","3,2","4,6","18,7","0,2","0,7","3,9","0,5","1,5","6,0","0,5","1,2","4,2","0,3","0,6","4,7",2016
"1,2","3,0","5,5","25,7","0,5","1,1","5,1","1,0","3,0","9,2","0,9","1,9","6,5","0,6","1,1","6,1",2016
.,"3,3","4,8","9,5","0,0","0,8","2,7","0,0","0,8","3,3","0,0","0,8","3,3","0,0","0,8","2,2",2016
"1,2","5,3","8,8","31,7","0,9","2,2","7,4","1,5","4,4","12,2","0,7","1,9","7,4","0,8","1,7","8,3",2016
"1,3","8,4","11,7","26,5","0,8","1,6","5,3","1,1","3,5","9,4","1,7","3,2","7,8","0,9","2,2","6,8",2016
"1,2","3,3","5,7","18,4","0,2","1,1","3,8","0,8","2,4","6,1","0,8","1,9","3,7","0,7","1,8","4,6",2016
"1,2","2,3","3,8","13,7","0,5","1,0","2,7","0,7","1,9","4,7","0,4","0,7","2,9","0,7","1,0","3,4",2016
"1,3","1,6","3,7","10,8","0,3","0,7","1,8","0,6","1,7","3,5","0,3","0,8","1,9","0,5","1,2","2,5",2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2016
,,,,,,,,,,,,,,,,2016
aantal,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,2022
"1,1","4,7","7,7","22,5","0,5","1,3","4,7","1,2","3,7","9,4","0,9","2,2","5,9","0,9","2,3","7,3",2022
"1,4","6,7","10,5","27,0","0,7","1,8","6,6","1,5","4,5","11,5","1,4","3,1","7,9","1,2","2,8","9,4",2022
"0,7","2,7","5,0","18,0","0,3","0,8","2,9","1,0","2,9","7,4","0,5","1,4","3,9","0,7","1,7","5,3",2022
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2022
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2022
.,"1,0","2,8","3,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,2","0,8",2022
"1,2","9,8","19,8","27,9","0,2","1,0","1,6","2,8","6,7","8,3","1,1","2,4","3,8","1,3","3,7","5,6",2022
"1,2","12,7","21,8","44,5","1,5","4,7","12,0","3,9","13,3","25,3","3,4","8,2","14,5","2,3","7,8","17,8",2022
"0,9","5,9","10,6","39,2","1,0","2,5","10,1","2,2","6,4","18,7","1,2","3,5","10,5","1,4","3,2","12,7",2022
"0,9","4,1","5,6","27,5","0,6","0,7","6,5","0,8","2,0","12,5","1,0","2,0","8,9","1,3","1,6","10,1",2022
"1,1","3,8","5,0","20,4","0,4","0,5","2,8","0,3","0,8","5,0","0,5","1,0","4,3","0,5","1,4","4,5",2022
"1,1","2,2","2,6","12,5","0,1","0,3","1,5","0,3","0,6","2,5","0,1","0,2","1,9","0,5","0,6","2,8",2022
"1,2","0,7","0,9","7,2","0,0","0,0","0,6","0,1","0,1","0,2","0,0","0,1","1,0","0,1","0,1","2,0",2022
"1,1","0,3","0,4","1,5","0,0","0,0","0,0","0,0","0,0","0,1","0,0","0,0","0,0","0,1","0,1","0,4",2022
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2022
"0,8","3,4","7,0","9,2","0,0","0,1","0,3","0,4","1,1","1,6","0,0","0,3","0,5","0,0","0,8","1,8",2022
"1,1","4,8","7,8","23,6","0,5","1,4","5,1","1,3","3,9","10,1","1,0","2,4","6,3","1,0","2,4","7,8",2022
